200520_02, 300mm, 30L, C
250520_03, 300mm, 40L, C
270520_04, 300mm, 10L, C
280520_05, 600mm, 40L, C
040620_06, 100mm, 10L, R
050620_07, 100mm, 30L, R
070620_08, 100mm, 40L, C
080620_09, 100mm, 20L, R
080620_10, 100mm_b, 10L, CF
090620_11, 100mm_b, 40L, C
110620_12, 600mm, 10L, C
120620_13, 600mm, 20L, C
130620_14, 600mm, 30L, C
140620_15, 200mm, 40L, C
150620_16, 200mm, 10L, C
160620_17, 200mm, 30L, C
170620_18, 200mm, 20L, C
230620_19, 200mm_b, 10L, C
240620_20, 200mm_b, 30L, C
250620_21, 200mm_b, 40L, C
260620_22, 300mm, 20L, C
270620_23, 400mm, 40L, C
280620_24, 400mm, 10L, C
010720_25, 400mm, 20L, C
020720_26, 400mm, 30L, C
030720_27, 100mm_b, 20L, C
040720_28, 100mm_b, 30L, C
050720_29, 200mm_b, 20L, C
250720_31, 300mm, 13mm, S
260720_32, 600mm, 13mm, S
270720_33, 50mm_b, 10L, F
300720_36, 600mm, 50L, C


